Disease,Drug Targets,Disease genes,Z-score,amspl,p_value_st,p_value_dt,mu,sigma
COPD,23,514,-4.292312456133138,0.23624093651747677,0.0,1.0,0.3065382245672421,0.01637748620777128
inflammation,23,617,-7.654673408558058,0.16939130481772133,0.0,1.0,0.2954514933021847,0.016468395417566197
pulmonary hypertension,23,357,-3.470781192191377,0.26488409107272476,0.0016,0.9984,0.3151034227488287,0.014469172470188625
coronary artery disease,23,1088,-5.753203065561643,0.1814307122364418,0.0,1.0,0.28114364037785095,0.017331724085715875
cerebrovascular disease,23,356,-2.20984340690459,0.3009843995635373,0.0198,0.9802,0.33182163601511366,0.013954489424556668
hypertension,23,819,-3.2937101673934346,0.24782774358458806,0.0018,0.9982,0.3028953670727816,0.016719025260128688
coronary heart disease,23,370,-6.156008227088723,0.22892761530001388,0.0,1.0,0.3232935888218418,0.015329085024055453
carcinoma,23,179,-2.748665653760874,0.29090971663703014,0.005,0.995,0.3297709291660868,0.014138210107833466
cystic fibrosis,23,18,1.2758163780483402,0.4768660198253048,0.9116,0.0884,0.46250531957484137,0.011256087080831713
beta thalassemia,23,17,0.3564407219584579,0.47743003114328497,0.6208,0.3792,0.47344224150783376,0.011187805965436172
muscular dystrophy duchenne,23,24,1.401631169088863,0.4671502352008387,0.9286,0.0714,0.4504993153105246,0.011879672953576009
huntington disease,23,47,-1.4440710058340078,0.3843974094525695,0.081,0.919,0.4041292718316692,0.013664052736592242
brain neoplasms,23,42,-3.7109263020842995,0.33224663622401357,0.0002,0.9998,0.37292246655772854,0.010961098933942384
breast neoplasms,23,1280,-3.834544592614217,0.1882747015927318,0.0004,0.9996,0.2561213478574693,0.017693534297506443
pancreatic neoplasms,23,104,-3.8092790739313984,0.3066570335010053,0.0008,0.9992,0.3547449123960924,0.012623879207006377
colorectal neoplasms,23,776,-1.6012653234603,0.2742337843335191,0.0622,0.9378,0.29748816011130264,0.014522500073586398
lung neoplasms,23,1315,-7.271140299367571,0.12853356205220945,0.0,1.0,0.259958377679128,0.01807485624206008
asthma,23,394,-1.2413884599015923,0.29705799601084776,0.1142,0.8858,0.31478824674103123,0.014282596707551953
alpha-Thalassemia,23,38,-3.7235822283732616,0.35104700420558965,0.001,0.999,0.3868060849365836,0.009603408368026336
FragileX_syndrome,23,60,0.5596479132989638,0.3966841366032923,0.7046,0.2954,0.38951941748178176,0.012802190361573231
PraderWilli_syndrome,23,63,-2.0527891780380174,0.38127813261754734,0.0278,0.9722,0.40965500731735754,0.013823569903525998
Rett_syndrome,23,52,-3.3810349146270764,0.34577588395119246,0.0022,0.9978,0.38751314189121044,0.0123445214243289
RubinsteinTaybi_syndrome,23,10,-4.86719985316742,0.3940398405396381,0.0,1.0,0.4485085767529197,0.01119098000009905
FactorVII_deficiency,23,4,-3.651720045209097,0.5308989669378313,0.001,0.999,0.5643483055558188,0.009159885808297822
FactorIX_deficiency,23,43,1.4968976665911249,0.4376722562559512,0.9428,0.0572,0.41812905499435155,0.013055803143915138
