Disease,Drug Targets,Disease genes,Z-score,amspl,p_value_st,p_value_dt,mu,sigma
COPD,23,514,3.580601538832481,0.15920919059652422,0.9978,0.0022,0.138556539878824,0.005767927677435561
inflammation,23,617,1.7125856033648226,0.14746055503036345,0.9594,0.0406,0.13620232237866733,0.006573821845504468
pulmonary hypertension,23,357,-0.31863194893050495,0.13803719037144072,0.3942,0.6058,0.14003273401777067,0.006262848571927692
coronary artery disease,23,1088,-1.1788136657008013,0.13226682639854706,0.1136,0.8864,0.13851388736773151,0.00529944736047032
cerebrovascular disease,23,356,0.1034926008412381,0.14746055503036345,0.5438,0.4562,0.14655848288012302,0.00871629607245305
hypertension,23,819,-1.4410653718937434,0.12588711224322754,0.0586,0.9414,0.1366566413242412,0.00747331057359399
coronary heart disease,23,370,3.2338034170652428,0.168285227596716,0.9964,0.0036,0.1407209238749465,0.008523803140385318
carcinoma,23,179,-1.1871107613004854,0.12458142556647382,0.0978,0.9022,0.13356307761300804,0.007565976435673762
cystic fibrosis,23,18,1.7406535588868932,0.2126998694564559,0.9184,0.0816,0.16933737679641317,0.024911615777106162
beta thalassemia,23,17,0.47431909630386976,0.20845757040906363,0.564,0.436,0.19632018040540164,0.025589081481733632
muscular dystrophy duchenne,23,24,1.9592700393961224,0.2169204153673518,0.949,0.051,0.1640431296017567,0.02698825823003586
huntington disease,23,47,-0.9968824200774083,0.1299824120944385,0.156,0.844,0.1347485379923001,0.004781031144567189
brain neoplasms,23,42,1.1296516630707323,0.168285227596716,0.805,0.195,0.15390889598362203,0.01272634041365882
breast neoplasms,23,1280,-1.0311909799160086,0.12683278962061,0.1512,0.8488,0.1317008252350722,0.004720789562044755
pancreatic neoplasms,23,104,1.2771494045107215,0.15834915553922885,0.875,0.125,0.14345917791753832,0.01165875939737443
colorectal neoplasms,23,776,-0.690557507452805,0.1322668263985471,0.2478,0.7522,0.13572918984255192,0.005013866921490907
lung neoplasms,23,1315,0.3389042969573196,0.13716386331948957,0.636,0.364,0.13553261500896965,0.004813300761203836
asthma,23,394,0.6644744121225765,0.14777364886331973,0.7698,0.2302,0.14306681082804817,0.007083550471471394
alpha-Thalassemia,23,38,-0.8379664168470458,0.16333229743439515,0.1708,0.8292,0.16960790122997815,0.007489087473452405
FragileX_syndrome,23,60,-0.5793999954509761,0.14913434127652672,0.305,0.695,0.1561513346838256,0.012110792996878107
PraderWilli_syndrome,23,63,2.9149894739738307,0.1987178098286312,0.9752,0.0248,0.15992395812398746,0.013308401986014167
Rett_syndrome,23,52,1.0873609214530089,0.16389549590400707,0.797,0.203,0.14786315729017455,0.014744265953947443
RubinsteinTaybi_syndrome,23,10,0.09910188094883834,0.16389549590400704,0.5664,0.4336,0.16114483124726067,0.02775592784325057
FactorVII_deficiency,23,4,-0.2944600563746587,0.23939490152155987,0.2816,0.7184,0.24496723036899434,0.018923887049537447
FactorIX_deficiency,23,43,2.7823970624715826,0.2106947097516051,0.9922,0.0078,0.15609400553221933,0.019623620566535663
