Disease,Drug Targets,Disease genes,Z-score,amspl,p_value_st,p_value_dt,mu,sigma
COPD,23,514,-2.995542028063075,0.3248760299682206,0.003,0.997,0.37802121827530255,0.017741426362642535
inflammation,23,617,-7.300594691763775,0.2443661524805396,0.0,1.0,0.3689011248524354,0.017058195616911995
pulmonary hypertension,23,357,-4.271721031031679,0.3351822627806711,0.0,1.0,0.403215161994798,0.015926344140899117
coronary artery disease,23,1088,-5.317364443584543,0.24192695382243426,0.0,1.0,0.335877915632429,0.017668708399956976
cerebrovascular disease,23,356,-2.112932869585602,0.3688113104547551,0.0224,0.9776,0.40307486412037397,0.016216110866001512
hypertension,23,819,-4.171245448184261,0.2787003090786025,0.0004,0.9996,0.3529188301063601,0.017792892302720967
coronary heart disease,23,370,-4.810937747569433,0.3189879052005787,0.0,1.0,0.3983287083354067,0.01649175426867918
carcinoma,23,179,-1.4544049487511692,0.41944994525455753,0.0808,0.9192,0.4415576922930654,0.015200544427114871
cystic fibrosis,23,18,0.07044907372615185,0.5601580078316017,0.502,0.498,0.5592413307222407,0.013011911454284559
beta thalassemia,23,17,0.17515385606545048,0.5635450890259888,0.545,0.455,0.5613234424905483,0.012683971597007055
muscular dystrophy duchenne,23,24,2.5513020175188728,0.5800927846626784,0.9986,0.0014,0.5465159729398189,0.013160657378977342
huntington disease,23,47,-0.18120238482682258,0.5103332189045382,0.4074,0.5926,0.5130248486002099,0.014854273017676563
brain neoplasms,23,42,-5.598092439438748,0.44073440336946706,0.0,1.0,0.5177814848935343,0.013763095618298108
breast neoplasms,23,1280,-2.440289213989273,0.2822595814858626,0.0128,0.9872,0.32493864049619414,0.017489344609511168
pancreatic neoplasms,23,104,-2.5473788160430706,0.4332258891022095,0.01,0.99,0.47183350684217185,0.015155821151065733
colorectal neoplasms,23,776,-0.5189116591533023,0.35124989907538506,0.2856,0.7144,0.36001182008604765,0.01688518817434019
lung neoplasms,23,1315,-7.542507998008448,0.19762600228827906,0.0,1.0,0.3289855843244031,0.01741590225304484
asthma,23,394,0.2204730494211173,0.3938601458803629,0.5636,0.4364,0.39016420756749437,0.01676367393916272
alpha-Thalassemia,23,38,-1.7362804090445143,0.5016118566703668,0.0494,0.9506,0.5253710646719334,0.013683969408283222
FragileX_syndrome,23,60,-0.27422624107517074,0.49718920669480743,0.381,0.619,0.5011757572355808,0.014537450993541545
PraderWilli_syndrome,23,63,-1.5818900626488845,0.4754812972697387,0.0624,0.9376,0.49904816498348,0.01489791754192982
Rett_syndrome,23,52,-1.6708874209925808,0.4814604835249071,0.0556,0.9444,0.5072269969664729,0.015420855479454942
RubinsteinTaybi_syndrome,23,10,-3.8595316014446466,0.5337525043679762,0.0006,0.9994,0.5786772196424215,0.011639939742332905
FactorVII_deficiency,23,4,-2.338829869251842,0.5879584187423464,0.0196,0.9804,0.6109622966457052,0.009835635419996321
FactorIX_deficiency,23,43,-0.44113453549737924,0.5117770400422493,0.313,0.687,0.5182323652005771,0.014633461311410197
